red: 90.60930992836916 , green: 79.34296462879672 , blue: 51.42423024598811 
red: 91.13755952380953 , green: 79.78693452380952 , blue: 51.79803571428572 
red: 90.76147124979161 , green: 78.27191556001344 , blue: 50.99179199930035 
red: 91.4863896680692 , green: 79.57904069918446 , blue: 51.49189652485585 
red: 90.47403597308488 , green: 77.58287396480331 , blue: 50.79948887163561 
red: 89.70103686635944 , green: 77.5765143300722 , blue: 50.57300574188619 
red: 87.71191787398683 , green: 76.39981501878054 , blue: 49.15889180716767 
red: 85.75924537731134 , green: 75.73009328668999 , blue: 47.89675995335665 
red: 86.6027536231884 , green: 75.80695652173912 , blue: 48.2855900621118 
red: 86.14738020600089 , green: 75.75613524406629 , blue: 48.1192342140618 
red: 86.42996632996633 , green: 75.10791245791245 , blue: 47.943518518518516 
red: 86.64514816324557 , green: 75.14048666910784 , blue: 47.86945260088849 
red: 88.23275162337663 , green: 75.33814935064935 , blue: 48.91732954545455 
red: 85.53428571428572 , green: 75.46929606625258 , blue: 47.42662525879918 
red: 86.65705301064033 , green: 75.19003719059336 , blue: 48.0108130807519 
red: 89.9000262605042 , green: 75.39782037815127 , blue: 49.68681722689075 
red: 86.50038569424964 , green: 75.41786270843073 , blue: 48.45160900732429 
red: 86.42809012160586 , green: 75.63334166250209 , blue: 48.15740046643345 
red: 86.4270202020202 , green: 75.62483164983165 , blue: 48.35951178451178 
red: 86.90143369175627 , green: 75.63057184750733 , blue: 48.86531443466927 
red: 86.49215865552073 , green: 75.53077179844422 , blue: 48.72743091837919 
red: 86.12752790271531 , green: 76.18962602032317 , blue: 48.66118607362985 
red: 86.72822491065392 , green: 76.74000289771081 , blue: 48.8033978677678 
red: 86.5370225240915 , green: 76.06088470916058 , blue: 48.65135841170324 
red: 86.31778158539778 , green: 76.13429520358868 , blue: 48.36390956307561 
red: 87.09457909933921 , green: 75.76860181020601 , blue: 48.4314287300794 
red: 86.2617683669686 , green: 76.24054306372159 , blue: 48.17150140367605 
